Statistical profiling result from isolate-0x7ff584000de0-8683-v8.log, (8730 ticks, 3 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   3520   40.3%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     20    0.2%          /usr/lib64/libc-2.30.so
      2    0.0%          /usr/lib64/libstdc++.so.6.0.27
      1    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
     16    0.2%    0.3%  LazyCompile: *Readable.read _stream_readable.js:390:35
     11    0.1%    0.2%  LazyCompile: *value internal/console/constructor.js:248:20
     11    0.1%    0.2%  LazyCompile: *formatValue internal/util/inspect.js:737:21
      9    0.1%    0.2%  LazyCompile: *api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
      8    0.1%    0.2%  LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      8    0.1%    0.2%  LazyCompile: *parse /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/parser.js:28:10
      8    0.1%    0.2%  LazyCompile: *emit events.js:263:44
      7    0.1%    0.1%  RegExp: [\x00-\x1f\x27\x5c\x7f-\x9f]
      7    0.1%    0.1%  LazyCompile: *onwrite _stream_writable.js:394:17
      7    0.1%    0.1%  LazyCompile: *nextTick internal/process/task_queues.js:101:18
      7    0.1%    0.1%  LazyCompile: *flush /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/buffer-writer.js:71:10
      6    0.1%    0.1%  LazyCompile: *writeOrBuffer _stream_writable.js:334:23
      6    0.1%    0.1%  LazyCompile: *where /home/yehor/Gitlab/distributed-communication-system/lib/queryBuilder.js:7:15
      6    0.1%    0.1%  LazyCompile: *unenroll timers.js:76:18
      6    0.1%    0.1%  LazyCompile: *query /home/yehor/Gitlab/distributed-communication-system/lib/queryBuilder.js:53:8
      6    0.1%    0.1%  LazyCompile: *parserOnHeadersComplete _http_common.js:75:33
      6    0.1%    0.1%  LazyCompile: *inspect internal/util/inspect.js:283:17
      6    0.1%    0.1%  LazyCompile: *insert internal/timers.js:345:16
      6    0.1%    0.1%  LazyCompile: *handlePacket /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/parser.js:93:17
      6    0.1%    0.1%  LazyCompile: *cstring /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/buffer-reader.js:35:12
      6    0.1%    0.1%  LazyCompile: *_storeHeader _http_outgoing.js:360:22
      5    0.1%    0.1%  LazyCompile: *query /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/client.js:496:8
      5    0.1%    0.1%  LazyCompile: *parseField /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/parser.js:187:15
      5    0.1%    0.1%  LazyCompile: *matchKnownFields _http_incoming.js:157:26
      5    0.1%    0.1%  LazyCompile: *formatProperty internal/util/inspect.js:1681:24
      5    0.1%    0.1%  LazyCompile: *clearBuffer _stream_writable.js:493:21
      5    0.1%    0.1%  LazyCompile: *_release /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-pool/index.js:304:11
      4    0.0%    0.1%  LazyCompile: *parserOnIncoming _http_server.js:809:26
      4    0.0%    0.1%  LazyCompile: *hidden internal/errors.js:285:25
      4    0.0%    0.1%  LazyCompile: *formatRaw internal/util/inspect.js:806:19
      4    0.0%    0.1%  LazyCompile: *callback _stream_writable.js:511:44
      4    0.0%    0.1%  LazyCompile: *Writable.write _stream_writable.js:258:36
      3    0.0%    0.1%  LazyCompile: *writeHead _http_server.js:250:19
      3    0.0%    0.1%  LazyCompile: *validateNumber internal/validators.js:127:24
      3    0.0%    0.1%  LazyCompile: *toString buffer.js:776:46
      3    0.0%    0.1%  LazyCompile: *resOnFinish _http_server.js:756:21
      3    0.0%    0.1%  LazyCompile: *reduceToSingleString internal/util/inspect.js:1765:30
      3    0.0%    0.1%  LazyCompile: *readableAddChunk _stream_readable.js:231:26
      3    0.0%    0.1%  LazyCompile: *prepare /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:186:10
      3    0.0%    0.1%  LazyCompile: *log internal/console/constructor.js:347:6
      3    0.0%    0.1%  LazyCompile: *get internal/console/constructor.js:193:14
      3    0.0%    0.1%  LazyCompile: *end _http_outgoing.js:769:45
      3    0.0%    0.1%  LazyCompile: *addString /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/buffer-writer.js:49:14
      3    0.0%    0.1%  LazyCompile: *_writeRaw _http_outgoing.js:330:19
      3    0.0%    0.1%  LazyCompile: *_send /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:137:8
      2    0.0%    0.0%  RegExp: ^[a-zA-Z_][a-zA-Z_0-9]*$
      2    0.0%    0.0%  RegExp: [^\t\x20-\x7e\x80-\xff]
      2    0.0%    0.0%  RegExp: (?<=\n)
      2    0.0%    0.0%  LazyCompile: *string /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/buffer-reader.js:30:11
      2    0.0%    0.0%  LazyCompile: *removeListener events.js:451:28
      2    0.0%    0.0%  LazyCompile: *once events.js:434:44
      2    0.0%    0.0%  LazyCompile: *int16 /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/buffer-reader.js:15:10
      2    0.0%    0.0%  LazyCompile: *handleRowDescription /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:73:23
      2    0.0%    0.0%  LazyCompile: *getUser /home/yehor/Gitlab/distributed-communication-system/lib/sessions.js:134:19
      2    0.0%    0.0%  LazyCompile: *get _stream_duplex.js:92:8
      2    0.0%    0.0%  LazyCompile: *formatWithOptionsInternal internal/util/inspect.js:1891:35
      2    0.0%    0.0%  LazyCompile: *bind /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/serializer.js:63:14
      2    0.0%    0.0%  LazyCompile: *afterWrite _stream_writable.js:456:20
      2    0.0%    0.0%  LazyCompile: *addInt16 /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/buffer-writer.js:30:13
      2    0.0%    0.0%  LazyCompile: *_addListener events.js:343:22
      2    0.0%    0.0%  LazyCompile: *Timeout internal/timers.js:162:17
      2    0.0%    0.0%  LazyCompile: *Readable.push _stream_readable.js:222:35
      2    0.0%    0.0%  LazyCompile: *<anonymous> internal/validators.js:153:3
      1    0.0%    0.0%  LazyCompile: *validateOffset buffer.js:103:24
      1    0.0%    0.0%  LazyCompile: *slice buffer.js:608:12
      1    0.0%    0.0%  LazyCompile: *slice buffer.js:1107:40
      1    0.0%    0.0%  LazyCompile: *select /home/yehor/Gitlab/distributed-communication-system/lib/queryBuilder.js:74:15
      1    0.0%    0.0%  LazyCompile: *resume_ _stream_readable.js:965:17
      1    0.0%    0.0%  LazyCompile: *readStart _http_incoming.js:31:19
      1    0.0%    0.0%  LazyCompile: *processPromiseRejections internal/process/promises.js:190:34
      1    0.0%    0.0%  LazyCompile: *parserOnBody _http_common.js:129:22
      1    0.0%    0.0%  LazyCompile: *onStreamRead internal/stream_base_commons.js:165:22
      1    0.0%    0.0%  LazyCompile: *logger internal/util/debuglog.js:89:18
      1    0.0%    0.0%  LazyCompile: *hasHooks internal/async_hooks.js:435:18
      1    0.0%    0.0%  LazyCompile: *get _stream_writable.js:710:8
      1    0.0%    0.0%  LazyCompile: *get _stream_readable.js:1165:8
      1    0.0%    0.0%  LazyCompile: *flow _stream_readable.js:989:14
      1    0.0%    0.0%  LazyCompile: *dir internal/console/constructor.js:357:6
      1    0.0%    0.0%  LazyCompile: *clearTimeout timers.js:171:22
      1    0.0%    0.0%  LazyCompile: *checkListener events.js:109:23
      1    0.0%    0.0%  LazyCompile: *byteLength buffer.js:722:20
      1    0.0%    0.0%  LazyCompile: *assignSocket _http_server.js:220:62
      1    0.0%    0.0%  LazyCompile: *append internal/linkedlist.js:29:16
      1    0.0%    0.0%  LazyCompile: *afterWriteTick _stream_writable.js:451:24
      1    0.0%    0.0%  LazyCompile: *addListener events.js:405:58
      1    0.0%    0.0%  LazyCompile: *addFields /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/result.js:80:12
      1    0.0%    0.0%  LazyCompile: *addCString /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/buffer-writer.js:36:15
      1    0.0%    0.0%  LazyCompile: *_unrefTimer net.js:393:52
      1    0.0%    0.0%  LazyCompile: *TypeOverrides.getTypeParser /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/type-overrides.js:30:50
      1    0.0%    0.0%  LazyCompile: *Socket.read net.js:620:33
      1    0.0%    0.0%  LazyCompile: *ReadableState _stream_readable.js:90:23
      1    0.0%    0.0%  LazyCompile: *OutgoingMessage _http_outgoing.js:85:25
      1    0.0%    0.0%  LazyCompile: *<anonymous> internal/console/constructor.js:327:10
      1    0.0%    0.0%  LazyCompile: *<anonymous> /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-pool/index.js:350:18

 [C++]:
   ticks  total  nonlib   name
   4222   48.4%   81.4%  epoll_wait
    303    3.5%    5.8%  __libc_write
    123    1.4%    2.4%  __libc_read
     67    0.8%    1.3%  __GI___writev
     18    0.2%    0.3%  epoll_ctl
     17    0.2%    0.3%  __GI___libc_malloc
     15    0.2%    0.3%  _int_malloc
     14    0.2%    0.3%  __GI___libc_write
     12    0.1%    0.2%  __pthread_mutex_unlock_usercnt
     11    0.1%    0.2%  _int_free
      8    0.1%    0.2%  __GI___shutdown
      7    0.1%    0.1%  accept4
      6    0.1%    0.1%  operator new(unsigned long)
      5    0.1%    0.1%  __GI___pthread_mutex_lock
      5    0.1%    0.1%  __GI___pthread_getspecific
      4    0.0%    0.1%  cfree@GLIBC_2.2.5
      4    0.0%    0.1%  __GI___mprotect
      3    0.0%    0.1%  __pthread_cond_timedwait
      3    0.0%    0.1%  __pthread_cond_signal
      3    0.0%    0.1%  __GI___madvise
      2    0.0%    0.0%  operator new[](unsigned long)
      2    0.0%    0.0%  do_futex_wait.constprop.0
      2    0.0%    0.0%  __pthread_enable_asynccancel
      2    0.0%    0.0%  __lll_lock_wait
      1    0.0%    0.0%  unlink_chunk.isra.0
      1    0.0%    0.0%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
      1    0.0%    0.0%  operator delete(void*)
      1    0.0%    0.0%  malloc_consolidate
      1    0.0%    0.0%  __errno_location
      1    0.0%    0.0%  __clock_gettime
      1    0.0%    0.0%  __GI___munmap
      1    0.0%    0.0%  __GI___mmap
      1    0.0%    0.0%  __GI___libc_realloc
      1    0.0%    0.0%  __GI__IO_default_xsputn
      1    0.0%    0.0%  _IO_file_write@@GLIBC_2.2.5

 [Summary]:
   ticks  total  nonlib   name
    315    3.6%    6.1%  JavaScript
   4869   55.8%   93.9%  C++
     74    0.8%    1.4%  GC
   3543   40.6%          Shared libraries
      3    0.0%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    303   69.3%    3.5%  __libc_write
     67   15.3%    0.8%  __GI___writev
     13    3.0%    0.1%  __GI___libc_write
     10    2.3%    0.1%  __pthread_mutex_unlock_usercnt
      9    2.1%    0.1%  __GI___libc_malloc
      8    1.8%    0.1%  _int_free
      6    1.4%    0.1%  _int_malloc
      3    0.7%    0.0%  cfree@GLIBC_2.2.5
      3    0.7%    0.0%  __GI___mprotect
      3    0.7%    0.0%  __GI___madvise
      2    0.5%    0.0%  operator new(unsigned long)
      2    0.5%    0.0%  __GI___pthread_mutex_lock
      2    0.5%    0.0%  __GI___pthread_getspecific
      1    0.2%    0.0%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
      1    0.2%    0.0%  __pthread_enable_asynccancel
      1    0.2%    0.0%  __lll_lock_wait
      1    0.2%    0.0%  __errno_location
      1    0.2%    0.0%  __clock_gettime
      1    0.2%    0.0%  _IO_file_write@@GLIBC_2.2.5

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   4222   48.4%  epoll_wait

   3520   40.3%  /home/yehor/.nvm/versions/node/v14.15.1/bin/node
   1763   50.1%    /home/yehor/.nvm/versions/node/v14.15.1/bin/node
    643   36.5%      LazyCompile: *api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
    642   99.8%        /home/yehor/.nvm/versions/node/v14.15.1/bin/node
    637   99.2%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
    637  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
    351   19.9%      LazyCompile: ~runInContext vm.js:135:15
    351  100.0%        LazyCompile: ~runScript /home/yehor/Gitlab/distributed-communication-system/lib/app.js:64:12
    351  100.0%          LazyCompile: ~api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
    351  100.0%            /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     82    4.7%      LazyCompile: ~_writev internal/worker/io.js:230:10
     80   97.6%        LazyCompile: ~doWrite _stream_writable.js:367:17
     80  100.0%          LazyCompile: ~clearBuffer _stream_writable.js:493:21
     46   57.5%            LazyCompile: *onwrite _stream_writable.js:394:17
     34   42.5%            LazyCompile: ~onwrite _stream_writable.js:394:17
      2    2.4%        LazyCompile: ~Writable._write _stream_writable.js:544:37
      1   50.0%          LazyCompile: ~writeOrBuffer _stream_writable.js:334:23
      1  100.0%            LazyCompile: ~Writable.write _stream_writable.js:258:36
      1   50.0%          LazyCompile: *writeOrBuffer _stream_writable.js:334:23
      1  100.0%            LazyCompile: *value internal/console/constructor.js:248:20
     69    3.9%      LazyCompile: ~writevGeneric internal/stream_base_commons.js:118:23
     69  100.0%        LazyCompile: ~Socket._writeGeneric net.js:759:42
     69  100.0%          LazyCompile: ~Socket._writev net.js:791:36
     69  100.0%            LazyCompile: ~doWrite _stream_writable.js:367:17
     39    2.2%      LazyCompile: ~<anonymous> /home/yehor/Gitlab/distributed-communication-system/api/getUser.js:1:12
     25   64.1%        /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     25  100.0%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     25  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     10   25.6%        LazyCompile: *api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
     10  100.0%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     10  100.0%            /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      4   10.3%        LazyCompile: ~api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
      4  100.0%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      4  100.0%            /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     34    1.9%      LazyCompile: ~<anonymous> /home/yehor/Gitlab/distributed-communication-system/lib/server.js:28:16
     32   94.1%        LazyCompile: *emit events.js:263:44
     32  100.0%          LazyCompile: ~endReadableNT _stream_readable.js:1320:23
     28   87.5%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      4   12.5%            LazyCompile: ~processTicksAndRejections internal/process/task_queues.js:65:35
      1    2.9%        LazyCompile: ~emit events.js:263:44
