Statistical profiling result from isolate-0x7fc8a8000de0-14038-v8.log, (29756 ticks, 7 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   3075   10.3%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     21    0.1%          /usr/lib64/libc-2.30.so

 [JavaScript]:
   ticks  total  nonlib   name
     12    0.0%    0.0%  LazyCompile: *_send /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:137:8
     10    0.0%    0.0%  LazyCompile: *dir internal/console/constructor.js:357:6
     10    0.0%    0.0%  LazyCompile: *api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
      9    0.0%    0.0%  LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      9    0.0%    0.0%  LazyCompile: *Readable.read _stream_readable.js:390:35
      8    0.0%    0.0%  LazyCompile: *flush /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/buffer-writer.js:71:10
      8    0.0%    0.0%  LazyCompile: *_addListener events.js:343:22
      7    0.0%    0.0%  LazyCompile: *processPromiseRejections internal/process/promises.js:190:34
      7    0.0%    0.0%  LazyCompile: *parserOnHeadersComplete _http_common.js:75:33
      6    0.0%    0.0%  LazyCompile: *onwrite _stream_writable.js:394:17
      6    0.0%    0.0%  LazyCompile: *formatValue internal/util/inspect.js:737:21
      6    0.0%    0.0%  LazyCompile: *assignSocket _http_server.js:220:62
      6    0.0%    0.0%  LazyCompile: *_release /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-pool/index.js:304:11
      6    0.0%    0.0%  LazyCompile: *_acquireClient /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-pool/index.js:255:17
      5    0.0%    0.0%  RegExp: (?<=\n)
      5    0.0%    0.0%  LazyCompile: *writeOrBuffer _stream_writable.js:334:23
      5    0.0%    0.0%  LazyCompile: *writeGeneric internal/stream_base_commons.js:143:22
      5    0.0%    0.0%  LazyCompile: *resOnFinish _http_server.js:756:21
      5    0.0%    0.0%  LazyCompile: *query /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/client.js:496:8
      5    0.0%    0.0%  LazyCompile: *nextTick internal/process/task_queues.js:101:18
      5    0.0%    0.0%  LazyCompile: *formatProperty internal/util/inspect.js:1681:24
      5    0.0%    0.0%  LazyCompile: *emit events.js:263:44
      4    0.0%    0.0%  LazyCompile: *reduceToSingleString internal/util/inspect.js:1765:30
      4    0.0%    0.0%  LazyCompile: *readableAddChunk _stream_readable.js:231:26
      4    0.0%    0.0%  LazyCompile: *prepare /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:186:10
      4    0.0%    0.0%  LazyCompile: *inspect internal/util/inspect.js:283:17
      4    0.0%    0.0%  LazyCompile: *get internal/console/constructor.js:193:14
      4    0.0%    0.0%  LazyCompile: *formatRaw internal/util/inspect.js:806:19
      4    0.0%    0.0%  LazyCompile: *_storeHeader _http_outgoing.js:360:22
