Statistical profiling result from isolate-0x7f110c000de0-74461-v8.log, (8291 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   3410   41.1%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     20    0.2%          /usr/lib64/libc-2.30.so
      6    0.1%          /usr/lib64/libstdc++.so.6.0.27

 [JavaScript]:
   ticks  total  nonlib   name
     12    0.1%    0.2%  LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     11    0.1%    0.2%  LazyCompile: *writeOrBuffer _stream_writable.js:334:23
     11    0.1%    0.2%  LazyCompile: *parserOnHeadersComplete _http_common.js:75:33
     11    0.1%    0.2%  LazyCompile: *clearBuffer _stream_writable.js:493:21
     11    0.1%    0.2%  LazyCompile: *addListener events.js:405:58
     10    0.1%    0.2%  LazyCompile: *formatValue internal/util/inspect.js:737:21
      9    0.1%    0.2%  LazyCompile: *parse /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/parser.js:28:10
      9    0.1%    0.2%  LazyCompile: *api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
      9    0.1%    0.2%  LazyCompile: *Readable.read _stream_readable.js:390:35
      7    0.1%    0.1%  LazyCompile: *log internal/console/constructor.js:347:6
      6    0.1%    0.1%  RegExp: (?<=\n)
      6    0.1%    0.1%  LazyCompile: *value internal/console/constructor.js:248:20
      6    0.1%    0.1%  LazyCompile: *readableAddChunk _stream_readable.js:231:26
      6    0.1%    0.1%  LazyCompile: *parseField /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/parser.js:187:15
      6    0.1%    0.1%  LazyCompile: *onwrite _stream_writable.js:394:17
      6    0.1%    0.1%  LazyCompile: *get internal/console/constructor.js:193:14
      6    0.1%    0.1%  LazyCompile: *end _http_outgoing.js:769:45
      6    0.1%    0.1%  LazyCompile: *cstring /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/buffer-reader.js:35:12
      6    0.1%    0.1%  LazyCompile: *_release /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-pool/index.js:304:11
      5    0.1%    0.1%  RegExp: [\x00-\x1f\x27\x5c\x7f-\x9f]
      5    0.1%    0.1%  LazyCompile: *where /home/yehor/Gitlab/distributed-communication-system/lib/queryBuilder.js:7:15
      5    0.1%    0.1%  LazyCompile: *reduceToSingleString internal/util/inspect.js:1765:30
      5    0.1%    0.1%  LazyCompile: *handlePacket /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/parser.js:93:17
      5    0.1%    0.1%  LazyCompile: *formatRaw internal/util/inspect.js:806:19
      5    0.1%    0.1%  LazyCompile: *flush /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/buffer-writer.js:71:10
      5    0.1%    0.1%  LazyCompile: *emit events.js:263:44
      5    0.1%    0.1%  LazyCompile: *Writable.write _stream_writable.js:258:36
      4    0.0%    0.1%  LazyCompile: *query /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/client.js:496:8
      4    0.0%    0.1%  LazyCompile: *query /home/yehor/Gitlab/distributed-communication-system/lib/queryBuilder.js:53:8
      4    0.0%    0.1%  LazyCompile: *parserOnIncoming _http_server.js:809:26
